"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"150",2005-10-12 21:45:00,2005-10-12,2.25,7,2.442,1.923,1.75,1.257,0.934,0.201,0.253,FALSE
"151",2005-10-13 13:15:00,2005-10-13,1.28,11.25,2.031,1.192,0.912,0.589,0.448,0.099,0.058,TRUE
"152",2005-10-14 20:15:00,2005-10-14,2.47,8.75,0.726,0.726,0.726,0.649,0.545,0.214,0.139,FALSE
"153",2005-10-15 19:30:00,2005-10-15,0.25,6.75,0.18,0.12,0.1,0.089,0.081,0.019,0.002,FALSE
"154",2005-10-17 19:45:00,2005-10-17,0.32,6,0.244,0.244,0.244,0.142,0.103,0.025,0.004,FALSE
"155",2005-10-19 00:15:00,2005-10-19,0.13,2.75,0.26,0.14,0.107,0.073,0.063,0.009,0.001,FALSE
"156",2005-10-19 23:00:00,2005-10-19,0.12,4.25,0.16,0.102,0.102,0.098,0.082,0.009,0.001,FALSE
"157",2005-10-20 13:45:00,2005-10-20,6.77,21.75,1.865,1.865,1.865,1.407,1.203,0.632,0.889,TRUE
"158",2005-10-21 21:15:00,2005-10-21,11.98,11,6.33,6.33,6.33,5.948,4.925,1.579,9.391,TRUE
"159",2005-10-22 15:15:00,2005-10-22,3.99,4.75,3.276,3.276,3.276,2.676,1.616,0.428,1.146,TRUE
"160",2005-10-23 18:15:00,2005-10-23,1.43,11,1.024,1.024,1.024,0.78,0.398,0.124,0.097,FALSE
"161",2005-10-24 17:45:00,2005-10-24,27.92,30,7.54,7.54,7.54,7.298,4.903,3.642,26.579,TRUE
"162",2005-10-26 15:15:00,2005-10-26,1.38,10.75,0.76,0.604,0.604,0.578,0.411,0.115,0.067,FALSE
"163",2005-10-27 21:00:00,2005-10-27,0.23,4.25,0.16,0.1,0.093,0.084,0.08,0.018,0.002,FALSE
"164",2005-10-28 08:45:00,2005-10-28,0.08,0.75,0.244,0.184,0.164,0.147,0.08,0.006,0.001,FALSE
"165",2005-10-28 18:30:00,2005-10-28,1.05,8.75,0.262,0.262,0.262,0.202,0.19,0.087,0.018,FALSE
"166",2005-10-29 18:00:00,2005-10-29,0.59,6.75,0.24,0.147,0.147,0.136,0.128,0.047,0.006,FALSE
"167",2005-10-30 20:30:00,2005-10-30,0.03,0.25,0.28,0.16,0.12,0.06,0.03,0.001,0,FALSE
"232",2006-04-01 00:00:00,2006-04-01,0.33,0.75,1.423,1.123,1.024,0.59,0.33,0.025,0.015,FALSE
"233",2006-04-01 07:00:00,2006-04-01,0.26,4.75,0.341,0.341,0.341,0.275,0.187,0.021,0.006,FALSE
"234",2006-04-02 22:15:00,2006-04-02,0.81,14.5,0.394,0.394,0.394,0.297,0.16,0.066,0.02,FALSE
"235",2006-04-03 18:45:00,2006-04-03,17.04,3,31.134,29.149,28.488,18.274,15.108,3.644,66.599,TRUE
"236",2006-04-07 07:15:00,2006-04-07,0.3,1,1.12,0.64,0.48,0.333,0.298,0.019,0.006,FALSE
"237",2006-04-07 20:45:00,2006-04-07,30.42,17.75,5.295,4.879,4.782,4.558,4.079,3.762,17.148,TRUE
