,Date,PRECIP,DURATION,MAX_5,MAX_10,MAX_15,MAX_30,MAX_60,ENERGY,EI30
,MO/DA/YR,mm,hrs,mm/hr,mm/hr,mm/hr,mm/hr,mm/hr,MJ/ha,MJ*mm/ha*hr
,----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
3/25/2006 14:30,3/25/2006,0.06,0.75,0.16,0.1,0.08,0.08,0.06,0.004,0
3/26/2006 15:45,3/26/2006,0.13,2.75,0.2,0.14,0.12,0.1,0.07,0.01,0.001
3/27/2006 19:45,3/27/2006,1.05,12.25,0.22,0.213,0.213,0.2,0.197,0.086,0.017
3/28/2006 18:30,3/28/2006,0.82,11.25,0.459,0.42,0.42,0.397,0.298,0.069,0.027
3/29/2006 19:45,3/29/2006,0.23,4.25,0.26,0.18,0.153,0.107,0.067,0.018,0.002
3/30/2006 19:30,3/30/2006,1.39,7,0.293,0.293,0.293,0.267,0.258,0.117,0.031
4/1/2006 0:15,4/1/2006,2.79,12.5,3.663,3.663,3.663,2.961,1.678,0.287,0.85
4/2/2006 20:00,4/2/2006,0.95,16.5,0.253,0.253,0.253,0.227,0.212,0.078,0.018
4/3/2006 18:30,4/3/2006,21.53,3,42.438,41.421,41.082,28.953,17.295,4.838,140.091
4/7/2006 20:45,4/7/2006,20.05,17.75,3.527,3.527,3.527,3.334,2.654,2.234,7.448
4/10/2006 19:45,4/10/2006,1.28,6.75,0.307,0.307,0.307,0.307,0.293,0.108,0.033
